account_id,username,bio,profile_picture,account_age,tweets_count,followers_count,following_count,duplicate_tweets,content_similarity,follower_following_ratio,tweet_frequency,is_fake,is_clone,report,blocked,avg_distance,name
N00016,brianperez94,Digital marketer,0,4773,7088,55562,51045,0,0.34,1.09,1.49,0,0,0,0,0.0695217250498877,Pooja Choudhary
N00017,richardroberts,,1,1525,8146,57804,82566,1,0.89,0.7,5.34,0,1,1,1,0.1397583210532948,Manav Bansal
N00018,charleslee88,,1,240,3322,5158,28373,0,0.97,0.18,13.84,0,1,0,0,0.2916982278938299,Tanvi Mishra
N00019,anthonymitchell15,,0,2670,9906,58744,64305,1,0.44,0.91,3.71,0,0,0,0,0.0964579661751246,Devansh Agarwal
N00020,michelle.rivera1995,Tech enthusiast,1,1490,7337,62139,33860,1,0.79,1.84,4.92,0,0,0,0,0.1699350054690988,Meera Pillai
N00021,nancydavis,Tech enthusiast,0,1414,8254,50445,35011,0,0.59,1.44,5.84,0,0,0,0,0.138546951077937,Siddharth Jain
N00022,karen_baker95,Sports fan,0,1272,4754,3884,97821,0,0.95,0.04,3.74,0,1,0,0,0.1473591890333217,Aisha Khan
N00023,nancy_torres1999,Sports fan,0,4724,2285,40755,72033,1,0.6,0.57,0.48,0,0,0,0,0.076529391976914,Harsh Vardhan
N00024,michelle_nelson,,1,4644,1550,17644,35269,1,0.7,0.5,0.33,0,0,0,0,0.0820018347353084,Ritika Sharma
N00025,jenniferlewis1985,Sports fan,0,1754,9137,81143,46784,0,0.14,1.73,5.21,0,0,0,0,0.2263086358852135,Krishna Yadav
N00026,richard_rodriguez1988,Tech enthusiast,0,3375,9576,95910,44123,1,0.4,2.17,2.84,0,0,0,0,0.1658755692717794,Nikita Arora
N00027,davidanderson70,Photographer,1,1403,2044,25939,96018,0,0.79,0.27,1.46,0,0,0,0,0.061631646125615,Aryan Desai
N00028,williamnelson58,Photographer,1,826,5053,85434,44148,0,0.27,1.94,6.12,0,0,0,0,0.1622178213696879,Shruti Menon
N00029,lindabrown61,Photographer,1,3499,2292,83162,92998,1,0.58,0.89,0.66,0,0,0,0,0.0607935115140657,Dhruv Shah
N00030,sarah.martinez30,Sports fan,0,2679,6917,86653,87700,1,0.66,0.99,2.58,0,0,0,0,0.0957213657309387,Palak Tiwari
N00031,kennethanderson1993,Digital marketer,1,4794,9935,86596,85786,0,0.05,1.01,2.07,0,0,0,0,0.0699526136541964,Aarav Sharma
N00032,donnajohnson,Tech enthusiast,0,618,3813,77338,62049,0,0.4,1.25,6.17,0,0,0,0,0.1486199937304921,Priya Verma
N00033,jennifermartinez1983,Digital marketer,1,2484,7772,98473,51167,1,0.04,1.92,3.13,0,0,0,0,0.2259045898957533,Rohan Mehta
N00034,matthewbaker49,Sports fan,0,1936,6687,70157,98675,0,0.99,0.71,3.45,0,1,0,0,0.1465979079958293,Sneha Reddy
N00035,emilyjohnson1986,Lover of nature,0,4532,5832,64683,88226,1,0.59,0.73,1.29,0,0,0,0,0.0780258890144128,Arjun Kapoor
N00036,davidlopez,Travel addict,0,4511,471,83858,53739,1,0.95,1.56,0.1,0,1,0,0,0.1116115358006706,Ananya Singh
N00037,thomasdavis13,Travel addict,0,1179,1701,92547,27593,1,0.17,3.35,1.44,0,0,0,0,0.1590415489669975,Vikram Patel
N00038,richard_torres,,1,1938,6644,55916,31722,1,0.71,1.76,3.43,0,0,0,0,0.1389814304640294,Kavya Nair
N00039,jennifernguyen8,Travel addict,1,1365,7959,92842,44336,1,0.64,2.09,5.83,0,0,0,0,0.2673596161366626,Rahul Das
N00040,markperez26,Travel addict,0,2664,6998,51791,90419,0,0.82,0.57,2.63,0,1,0,0,0.0798592737860283,Ishita Gupta
N00041,kenneth_adams2000,Tech enthusiast,1,2980,7846,61573,35584,1,0.56,1.73,2.63,0,0,0,0,0.085282190128455,Aditya Rao
N00042,mary.hill,Photographer,1,2004,1610,39634,24083,1,0.88,1.65,0.8,0,1,0,0,0.0521066798859112,Neha Joshi
N00043,steven_jackson,Digital marketer,1,4732,8340,6790,422,0,0.47,16.09,1.76,0,0,0,0,0.3289033298811985,Karthik Iyer
N00044,richard_davis,Lover of nature,0,4426,8114,70658,92875,0,0.49,0.76,1.83,0,0,0,0,0.0636466038391947,Simran Kaur
N00045,james.scott,Lover of nature,1,1665,7843,91855,43773,0,0.2,2.1,4.71,0,0,0,0,0.2291527471944977,Yash Malhotra
N00046,jessicalee2005,Tech enthusiast,0,2624,6522,65432,3458,1,0.63,18.92,2.49,0,0,0,0,0.8666426879409348,Pooja Choudhary
N00047,joshuaclark78,Tech enthusiast,0,4555,2052,63805,74094,1,0.86,0.86,0.45,0,1,0,0,0.0519833769069093,Manav Bansal
N00048,kimberly_gonzalez,Travel addict,1,2524,8696,17575,44756,1,0.22,0.39,3.45,0,0,0,0,0.0830873596822548,Tanvi Mishra
N00049,sandralewis1983,Lover of nature,1,2186,8891,9835,28287,0,0.19,0.35,4.07,0,0,0,0,0.1194161432131063,Devansh Agarwal
N00050,patricia_young,,0,3424,3551,5205,1292,0,0.11,4.03,1.04,0,0,0,0,0.1414288226291822,Meera Pillai
N00051,susan.campbell1980,,0,1001,6703,58827,89892,0,0.95,0.65,6.7,0,1,0,0,0.168893257593905,Siddharth Jain
N00052,melissa_rodriguez,Digital marketer,0,4007,3869,85234,58892,1,0.55,1.45,0.97,0,0,0,0,0.0971484567034134,Aisha Khan
N00053,donaldclark87,,1,3794,7085,44307,21043,1,0.75,2.11,1.87,0,0,0,0,0.1338173869762245,Harsh Vardhan
N00054,michellelewis1983,Lover of nature,0,4040,8925,23393,61659,0,0.74,0.38,2.21,0,0,0,0,0.0501931887032933,Ritika Sharma
N00055,michaelrodriguez1980,Travel addict,0,1793,8617,38287,96171,0,0.14,0.4,4.81,0,0,0,0,0.1191736215659379,Krishna Yadav
N00056,betty_young32,Lover of nature,1,1324,5857,90197,61623,0,0.64,1.46,4.42,0,0,0,0,0.112077383117674,Nikita Arora
N00057,mary.davis,Sports fan,0,3221,402,6784,17136,1,0.86,0.4,0.12,0,1,0,0,0.0638249832957324,Aryan Desai
N00058,karensanchez,Lover of nature,1,2375,1438,2682,69202,1,0.53,0.04,0.61,0,0,0,0,0.0599376270574106,Shruti Menon
N00059,sandrataylor,Travel addict,1,2025,6496,31601,81923,0,0.44,0.39,3.21,0,0,0,0,0.0863665150536044,Dhruv Shah
N00060,johnsmith82,,1,161,2645,28660,92638,0,0.33,0.31,16.43,0,0,0,0,0.3312393128514477,Palak Tiwari
N00061,robertmoore,Photographer,0,4678,7534,91613,91163,1,0.67,1.0,1.61,0,0,0,0,0.0718276313836302,Aarav Sharma
N00062,dorothycampbell1999,Digital marketer,1,2725,6578,4691,18731,0,0.93,0.25,2.41,0,1,0,0,0.0768019044569294,Priya Verma
N00063,davidsmith1989,Sports fan,1,2139,2816,48545,62233,1,0.35,0.78,1.32,0,0,0,0,0.0746594201257198,Rohan Mehta
N00064,melissathompson,,0,2080,9701,9573,50996,0,0.69,0.19,4.66,0,0,0,0,0.0960130683277825,Sneha Reddy
N00065,amanda.thompson,Digital marketer,0,4732,2603,2447,74944,0,0.81,0.03,0.55,0,1,0,0,0.1138524301295254,Arjun Kapoor
N00066,danieltaylor,,0,4081,3015,90167,42858,1,0.62,2.1,0.74,0,0,0,0,0.1334358055875559,Ananya Singh
N00067,nancynguyen1989,Sports fan,1,955,6965,88239,88113,1,0.21,1.0,7.29,0,0,0,0,0.1174210709661501,Vikram Patel
N00068,michaelclark,Lover of nature,0,1479,7082,98871,66520,0,0.3,1.49,4.79,0,0,0,0,0.1923867700728669,Kavya Nair
N00069,johngreen2005,Travel addict,0,3661,7126,78426,72916,0,0.9,1.08,1.95,0,1,0,0,0.0582554402130666,Rahul Das
N00070,donaldhill2005,Photographer,1,4945,7272,93675,65271,0,0.52,1.44,1.47,0,0,0,0,0.072599572552854,Ishita Gupta
N00071,joshuagreen,Sports fan,1,4770,8433,64624,7889,0,0.81,8.19,1.77,0,1,0,0,0.2127101394189918,Aditya Rao
N00072,john_brown29,Travel addict,0,3595,8435,18958,94029,1,0.0,0.2,2.35,0,0,0,0,0.0786553137234535,Neha Joshi
N00073,sandraramirez,Lover of nature,0,23,183,37179,72787,0,0.62,0.51,7.96,0,0,0,0,0.2200583647159148,Karthik Iyer
N00074,sandra.nguyen,Sports fan,0,1531,9336,60548,76161,1,0.45,0.8,6.1,0,0,0,0,0.1670780927839021,Simran Kaur
N00075,thomas_gonzalez,Tech enthusiast,1,4678,3190,18031,35743,0,0.68,0.5,0.68,0,0,0,0,0.0759099632866663,Yash Malhotra
N00076,donna.thompson,Photographer,1,1429,7332,45175,20655,1,0.46,2.19,5.13,0,0,0,0,0.2476887540874748,Pooja Choudhary
N00077,steven_davis,,0,3606,6505,36242,96387,1,0.67,0.38,1.8,0,0,0,0,0.0822515887121416,Manav Bansal
N00078,matthew_moore56,,1,573,1402,23966,84556,1,0.87,0.28,2.45,0,1,0,0,0.0637899181422145,Tanvi Mishra
N00079,jamesperez37,Photographer,0,1328,6474,56657,55886,1,0.16,1.01,4.88,0,0,0,0,0.1542190916725041,Devansh Agarwal
N00080,mary_lewis,Tech enthusiast,1,455,5322,45397,52832,0,0.23,0.86,11.7,0,0,0,0,0.2760774934408438,Meera Pillai
N00081,melissataylor,Travel addict,1,2713,2769,37924,2995,1,0.65,12.66,1.02,0,0,0,0,0.393163870375073,Siddharth Jain
N00082,emily.jackson1994,Lover of nature,0,2020,3068,8484,30769,1,0.78,0.28,1.52,0,0,0,0,0.0727874412678476,Aisha Khan
N00083,jessicaharris41,,1,4882,9016,57261,53706,1,0.93,1.07,1.85,0,1,0,0,0.0640039671555014,Harsh Vardhan
N00084,melissa_nelson17,Travel addict,0,3839,9866,97640,55531,1,0.65,1.76,2.57,0,0,0,0,0.0890576692442541,Ritika Sharma
N00085,karen.perez1996,Tech enthusiast,1,4318,8810,87349,79970,0,0.39,1.09,2.04,0,0,0,0,0.0776781070666673,Krishna Yadav
N00086,josephperez13,Travel addict,1,4078,9981,69710,70819,0,0.41,0.98,2.45,0,0,0,0,0.0716469133701066,Nikita Arora
N00087,karen_perez1989,,0,922,11,77674,4078,1,0.15,19.05,0.01,0,0,0,0,0.9464860851334232,Aryan Desai
N00088,carol.young1989,Digital marketer,0,1756,7598,87937,83390,1,0.73,1.05,4.33,0,0,0,0,0.0895892041965221,Shruti Menon
N00089,george.adams,Lover of nature,1,4017,4774,27180,24562,0,0.97,1.11,1.19,0,1,0,0,0.0942609646882148,Dhruv Shah
N00090,danielthompson1982,Digital marketer,1,2678,9515,77794,60907,1,0.95,1.28,3.55,0,1,0,0,0.1637735804200291,Palak Tiwari
N00091,margaret.thomas51,Photographer,0,1133,9563,23315,57039,1,0.54,0.41,8.44,0,0,0,0,0.1223600958534087,Aarav Sharma
N00092,markhall,Travel addict,1,4748,3962,63621,89305,0,0.57,0.71,0.83,0,0,0,0,0.0646973097617141,Priya Verma
N00093,daniel.garcia61,Lover of nature,1,4574,5209,56937,40138,1,0.88,1.42,1.14,0,1,0,0,0.1228296735817153,Rohan Mehta
N00094,sarah_johnson1,Tech enthusiast,1,4252,9266,98625,34629,0,0.57,2.85,2.18,0,0,0,0,0.1749695186790222,Sneha Reddy
N00095,matthewgonzalez,Lover of nature,0,1991,8772,94885,70904,0,0.54,1.34,4.41,0,0,0,0,0.0938696513457935,Arjun Kapoor
N00096,charlesanderson,Lover of nature,0,1071,1739,98754,22607,1,0.88,4.37,1.62,0,1,0,0,0.1906234325000965,Ananya Singh
N00097,kevin.roberts44,Tech enthusiast,1,1223,2221,93005,84072,0,0.23,1.11,1.82,0,0,0,0,0.0718217779925859,Vikram Patel
N00098,joshua_lewis,Photographer,0,231,5299,93494,78651,0,0.81,1.19,22.94,0,1,0,0,0.3631321327544515,Kavya Nair
N00099,richard_gonzalez89,Lover of nature,1,808,5593,30662,37417,0,0.43,0.82,6.92,0,0,0,0,0.1649129623300716,Rahul Das
N00100,lisayoung,Photographer,0,1104,7808,76143,25761,1,0.74,2.96,7.07,0,0,0,0,0.2380452522510754,Ishita Gupta
N00101,michelleadams,Photographer,0,2985,7868,72208,90697,0,0.45,0.8,2.64,0,0,0,0,0.1233513169685635,Aditya Rao
N00102,nancy.perez1989,Photographer,1,3254,7616,41820,47232,1,0.43,0.89,2.34,0,0,0,0,0.0885295877234848,Neha Joshi
N00103,kennethsanchez18,,1,445,2495,91660,6053,0,0.62,15.14,5.61,0,0,0,0,0.6610969750142236,Karthik Iyer
N00104,markmoore,Sports fan,1,4490,7107,24285,7422,1,0.39,3.27,1.58,0,0,0,0,0.1653154275848727,Simran Kaur
N00105,barbarascott,Photographer,0,1544,5287,28774,63169,0,0.86,0.46,3.42,0,1,0,0,0.1094497389829026,Yash Malhotra
N00106,elizabeth.smith,Tech enthusiast,1,1420,9883,72817,79057,1,0.13,0.92,6.96,0,0,0,0,0.1755134738514407,Pooja Choudhary
N00107,edwardadams65,Sports fan,1,309,8126,86188,52180,1,0.24,1.65,26.3,0,0,0,0,0.4483661993134157,Manav Bansal
N00108,margarettaylor1998,Photographer,0,365,6228,13552,13449,1,0.01,1.01,17.06,0,0,0,0,0.3232485301448532,Tanvi Mishra
N00109,barbara.clark68,Tech enthusiast,0,2174,4855,72264,56669,1,0.79,1.28,2.23,0,0,0,0,0.0965468354933994,Devansh Agarwal
N00110,jessicaharris,Tech enthusiast,0,4541,408,22185,46515,0,0.45,0.48,0.09,0,0,0,0,0.0735347506842997,Meera Pillai
N00111,ashley_jones2002,Digital marketer,0,4006,8995,67015,29351,0,0.37,2.28,2.25,0,0,0,0,0.1688814455202064,Siddharth Jain
N00112,patriciawright2005,Digital marketer,1,4970,3079,75570,62678,1,0.26,1.21,0.62,0,0,0,0,0.0812507585133399,Aisha Khan
N00113,emily_sanchez1984,Lover of nature,0,3815,9126,24998,64976,1,0.65,0.38,2.39,0,0,0,0,0.09280511031328,Harsh Vardhan
N00114,jessicamartin2002,Photographer,0,4249,6051,49981,61215,1,0.28,0.82,1.42,0,0,0,0,0.0877800455767202,Ritika Sharma
N00115,maryjohnson2003,Photographer,1,4125,8719,84948,89228,1,0.71,0.95,2.11,0,0,0,0,0.0779179922832871,Krishna Yadav
N00116,nancy.miller,Sports fan,0,4145,403,25127,68878,0,0.95,0.36,0.1,0,1,0,0,0.0588013729212923,Nikita Arora
N00117,matthewrobinson21,Tech enthusiast,0,4661,5195,87899,33560,0,0.23,2.62,1.11,0,0,0,0,0.1447683413867762,Aryan Desai
N00118,dorothydavis,Photographer,1,3592,480,82124,18293,0,0.5,4.49,0.13,0,0,0,0,0.2000194159102429,Shruti Menon
N00119,michellebaker2000,Lover of nature,1,2862,1186,21811,36463,0,0.05,0.6,0.41,0,0,0,0,0.0813085479205947,Dhruv Shah
N00120,michelleanderson,Travel addict,1,1726,4766,60217,64352,0,0.07,0.94,2.76,0,0,0,0,0.103618326215186,Palak Tiwari
N00121,susan_king,Travel addict,1,3050,2044,71995,13916,0,0.32,5.17,0.67,0,0,0,0,0.1645256701590801,Aarav Sharma
N00122,elizabethhall2005,Travel addict,1,4214,7222,85316,55060,1,0.15,1.55,1.71,0,0,0,0,0.1089782021621981,Priya Verma
N00123,elizabeth_wilson,,0,2928,1791,55899,37739,1,0.54,1.48,0.61,0,0,3,0,0.1084198224499603,Rohan Mehta
N00124,kennethhernandez10,Tech enthusiast,0,1513,6349,67629,73957,0,0.13,0.91,4.2,0,0,0,0,0.1403551034321006,Sneha Reddy
N00125,charles_baker,Travel addict,1,1940,5401,2797,8471,0,0.81,0.33,2.78,0,1,0,0,0.0676702160146425,Arjun Kapoor
N00126,jessica_sanchez,,1,4383,7910,62666,76863,1,0.89,0.82,1.8,0,1,0,0,0.0526198860737533,Ananya Singh
N00127,matthewnguyen1999,Travel addict,1,3231,9034,96677,14640,0,0.47,6.6,2.8,0,0,0,0,0.3842420820017187,Vikram Patel
N00128,markrivera92,Lover of nature,1,499,9547,5207,51064,1,0.01,0.1,19.13,0,0,0,0,0.525981992112155,Kavya Nair
N00129,stevenjohnson57,Digital marketer,0,332,3087,35939,25302,1,0.5,1.42,9.3,0,0,0,0,0.1642189396360552,Rahul Das
N00130,matthew_wright82,Lover of nature,1,1655,9366,23677,89175,0,0.85,0.27,5.66,0,1,0,0,0.1304491487085306,Ishita Gupta
N00131,matthew_martin1995,,1,143,1146,85290,56141,0,0.92,1.52,8.01,0,1,0,0,0.2297177568846469,Aditya Rao
N00132,charles.walker1991,Tech enthusiast,1,2279,2278,30441,76276,0,0.66,0.4,1.0,0,0,0,0,0.0875119948538908,Neha Joshi
N00133,linda.rivera,Sports fan,1,2475,9670,46174,43735,0,0.73,1.06,3.91,0,0,0,0,0.12056410341409,Karthik Iyer
N00134,christopherlewis,Photographer,0,1936,5775,59848,2845,0,0.54,21.04,2.98,0,0,0,0,0.8285460047554368,Simran Kaur
N00135,michelleclark66,Lover of nature,0,3178,6495,85254,89993,1,0.4,0.95,2.04,0,0,0,0,0.0769555767131584,Yash Malhotra
N00136,williamlewis1996,Tech enthusiast,1,672,5749,30275,61700,0,0.92,0.49,8.56,0,1,0,0,0.2627813326862361,Pooja Choudhary
N00137,sandrathompson63,Photographer,0,4692,1520,10364,22754,1,0.17,0.46,0.32,0,0,0,0,0.0473930791440491,Manav Bansal
N00138,anthony_campbell1982,Digital marketer,0,4701,8755,68296,44971,0,0.41,1.52,1.86,0,0,0,0,0.099564329302614,Tanvi Mishra
N00139,linda.king1987,Digital marketer,1,2628,8730,80503,79611,0,0.07,1.01,3.32,0,0,0,0,0.0855367787243653,Devansh Agarwal
N00140,lisa_anderson50,Photographer,0,897,7231,78916,23059,0,0.43,3.42,8.06,0,0,0,0,0.3470269498128804,Meera Pillai
N00141,paul.torres96,Digital marketer,1,3771,1315,48131,45123,1,0.04,1.07,0.35,0,0,0,0,0.0767750792091001,Siddharth Jain
N00142,sandra_hill2003,Tech enthusiast,0,545,1870,75866,4728,1,0.17,16.05,3.43,0,0,0,0,0.6962901938611644,Aisha Khan
N00143,margaret.harris,Lover of nature,0,2842,5052,30836,12990,1,0.64,2.37,1.78,0,0,0,0,0.1272433096392668,Harsh Vardhan
N00144,brian.thomas10,Tech enthusiast,0,1336,8611,9276,50881,0,0.13,0.18,6.45,0,0,0,0,0.1394360197759097,Ritika Sharma
N00145,edward_taylor83,Tech enthusiast,1,1721,7021,10570,79487,1,0.92,0.13,4.08,0,1,0,0,0.095524981143113,Krishna Yadav
N00146,briangarcia,Photographer,0,4674,645,95088,9693,0,0.03,9.81,0.14,0,0,0,0,0.1925976813067268,Nikita Arora
N00147,ashley.wright29,Sports fan,0,767,918,55886,45702,0,0.17,1.22,1.2,0,0,0,0,0.0787768855307205,Aryan Desai
N00148,brian_mitchell1991,Sports fan,1,188,5915,89350,55979,0,0.96,1.6,31.46,0,1,0,0,0.7543440091246736,Shruti Menon
N00149,matthewflores83,Lover of nature,0,1223,714,75837,80353,1,0.68,0.94,0.58,0,0,0,0,0.0604182713626337,Dhruv Shah
N00150,patriciawhite1993,Photographer,0,4729,71,77748,62446,1,0.29,1.25,0.02,0,0,0,0,0.0720855214784112,Palak Tiwari
N00151,donna.davis,Sports fan,0,1372,9887,24521,69489,1,0.39,0.35,7.21,0,0,0,0,0.165250498265485,Aarav Sharma
N00152,mark_rivera93,Digital marketer,1,4808,3008,88403,8123,1,0.08,10.88,0.63,0,0,0,0,0.4306674415537966,Priya Verma
N00153,nancyrivera1985,Sports fan,1,2853,4290,10600,62961,0,0.7,0.17,1.5,0,0,0,0,0.0818765491158608,Rohan Mehta
N00154,donna_lee1996,Digital marketer,0,197,4419,85301,81904,1,0.33,1.04,22.43,0,0,0,0,0.4182489677595768,Sneha Reddy
N00155,brian_smith46,Lover of nature,1,758,9738,25056,66797,1,0.47,0.38,12.85,0,0,0,0,0.2397826386288437,Arjun Kapoor
N00156,deborah_hernandez1994,Tech enthusiast,1,2481,2964,41779,18602,0,0.83,2.25,1.19,0,1,0,0,0.1421483555063567,Ananya Singh
N00157,bettysmith57,Tech enthusiast,1,1629,8566,32695,27283,0,0.56,1.2,5.26,0,0,0,0,0.1708957640842245,Vikram Patel
N00158,jennifer_moore2001,Sports fan,1,3916,7327,40954,7008,0,0.4,5.84,1.87,0,0,0,0,0.2858721378140147,Kavya Nair
N00159,karentaylor1993,Digital marketer,0,2271,9194,92682,62685,1,0.99,1.48,4.05,0,1,0,0,0.1667289237542914,Rahul Das
N00160,johnmiller,,1,4190,8049,61286,87803,0,0.85,0.7,1.92,0,1,0,0,0.06426102393119,Ishita Gupta
N00161,briancarter1984,Travel addict,0,1580,5727,94360,6039,0,0.35,15.63,3.62,0,0,0,0,0.6336714891551549,Aditya Rao
N00162,edwardadams,,0,465,7586,7474,2770,1,0.5,2.7,16.31,0,0,0,0,0.5775331104111788,Neha Joshi
N00163,paul_white1996,Travel addict,0,1609,815,45374,68666,0,0.05,0.66,0.51,0,0,0,0,0.079540688491502,Karthik Iyer
N00164,susan_allen1985,,0,41,3816,896,8298,1,0.91,0.11,93.07,0,1,0,0,1.698021517140072,Simran Kaur
N00165,joseph_lewis18,Tech enthusiast,1,4724,272,61509,25778,0,0.54,2.39,0.06,0,0,0,0,0.2192343582357541,Yash Malhotra
N00166,kimberlydavis2002,Photographer,1,3405,2314,85910,28279,0,0.53,3.04,0.68,0,0,0,0,0.1181615263176978,Pooja Choudhary
N00167,amanda_clark,Tech enthusiast,1,3852,9660,432,98856,1,0.2,0.0,2.51,0,0,0,0,0.1144481245306252,Manav Bansal
N00168,paul_king2004,Travel addict,1,678,3214,64961,98242,0,0.57,0.66,4.74,0,0,0,0,0.0913204305519597,Tanvi Mishra
N00169,ashleymartinez3,Photographer,1,1724,295,62847,40353,1,0.2,1.56,0.17,0,0,0,0,0.1235796775104816,Devansh Agarwal
N00170,mark_allen1996,Digital marketer,1,4862,2023,49146,96594,0,0.97,0.51,0.42,0,1,0,0,0.0830266082822427,Meera Pillai
N00171,elizabeth.torres9,Sports fan,1,4095,1665,803,75958,0,0.73,0.01,0.41,0,0,0,0,0.1010134254723574,Siddharth Jain
N00172,josephthomas,,1,762,2456,94793,2409,0,0.27,39.35,3.22,0,0,0,0,1.5284178898733618,Aisha Khan
N00173,margaretnguyen1996,Digital marketer,0,4987,5568,73215,18536,0,0.62,3.95,1.12,0,0,0,0,0.115452871853272,Harsh Vardhan
N00174,thomas_king1992,Digital marketer,1,944,216,72296,27328,1,0.71,2.65,0.23,0,0,0,0,0.1846858885878527,Ritika Sharma
N00175,melissalee1980,Sports fan,0,1190,1045,38998,62957,0,0.19,0.62,0.88,0,0,0,0,0.0977074904222404,Krishna Yadav
N00176,donaldbaker,Digital marketer,1,3259,8309,74231,39275,0,0.4,1.89,2.55,0,0,0,0,0.1611624648183346,Nikita Arora
N00177,david_brown1985,Sports fan,0,397,6413,37034,30369,0,0.6,1.22,16.15,0,0,0,0,0.3153476475831999,Aryan Desai
N00178,john.wilson,Lover of nature,1,1237,591,86326,23311,1,0.46,3.7,0.48,0,0,0,0,0.1407600220641927,Shruti Menon
N00179,johnbrown1995,Sports fan,1,1244,8083,75742,56648,0,0.77,1.34,6.5,0,0,0,0,0.2039970217837488,Dhruv Shah
N00180,jessicathomas38,Travel addict,1,947,4509,79878,75263,1,0.58,1.06,4.76,0,0,0,0,0.1238187469616067,Palak Tiwari
N00181,anthony.roberts1982,,0,1698,2800,80210,93861,0,0.37,0.85,1.65,0,0,0,0,0.0682562564903754,Aarav Sharma
N00182,elizabethking2,Photographer,0,1290,9365,52363,23014,1,0.44,2.28,7.26,0,0,0,0,0.3275060440134523,Priya Verma
N00183,steven.hill59,Photographer,1,968,376,25928,99338,1,0.88,0.26,0.39,0,1,0,0,0.0504651906289278,Rohan Mehta
N00184,joshua_perez,,1,3772,6578,45416,36530,1,0.17,1.24,1.74,0,0,0,0,0.0731079746433443,Sneha Reddy
N00185,david_allen84,Photographer,1,3360,9842,59777,81725,0,0.21,0.73,2.93,0,0,0,0,0.1141792720002891,Arjun Kapoor
N00186,brianbaker1998,Sports fan,0,3823,5646,49530,36884,0,0.32,1.34,1.48,0,0,0,0,0.1053984595944406,Ananya Singh
N00187,barbara_scott2004,Travel addict,0,1144,2445,66134,12801,1,0.55,5.17,2.14,0,0,0,0,0.2709344754890629,Vikram Patel
N00188,markgreen43,Lover of nature,1,439,2968,54545,72378,1,0.26,0.75,6.76,0,0,0,0,0.1720906134772457,Kavya Nair
N00189,margaret.wright,Travel addict,0,944,2655,92320,495,1,0.06,186.51,2.81,0,0,0,0,7.44777069719554,Rahul Das
N00190,dorothy_green,Photographer,0,4964,3720,54342,11834,0,0.68,4.59,0.75,0,0,0,0,0.2518644253080401,Ishita Gupta
N00191,michellemartinez98,Lover of nature,0,732,3097,16416,91318,1,0.89,0.18,4.23,0,1,0,0,0.1378553208776952,Aditya Rao
N00192,donald.mitchell2003,,0,950,6685,9265,49720,1,0.46,0.19,7.04,0,0,0,0,0.1263551416375624,Neha Joshi
N00193,richardwilliams,Lover of nature,0,924,9907,31153,88177,0,0.72,0.35,10.72,0,0,0,0,0.1835138592188303,Karthik Iyer
N00194,barbarasmith1983,Digital marketer,0,3135,3454,71674,75657,0,0.93,0.95,1.1,0,1,0,0,0.0571539040931123,Simran Kaur
N00195,andrewnguyen2003,Tech enthusiast,0,3299,1950,1505,83716,1,0.3,0.02,0.59,0,0,0,0,0.0821492513255278,Yash Malhotra
